Area,Item,temp (C),rain (mm),yield (t/ha),Year,pesticides_tonnes
Albania,Maize,16.37,1485.0,3.6613,1990,121.0
Albania,Potatoes,16.37,1485.0,6.6667,1990,121.0
Albania,"Rice, paddy",16.37,1485.0,2.3333,1990,121.0
Albania,Sorghum,16.37,1485.0,1.25,1990,121.0
Albania,Soybeans,16.37,1485.0,0.7,1990,121.0
Albania,Wheat,16.37,1485.0,3.0197,1990,121.0
Albania,Maize,15.36,1485.0,2.9068,1991,121.0
Albania,Potatoes,15.36,1485.0,7.7818,1991,121.0
Albania,"Rice, paddy",15.36,1485.0,2.8538,1991,121.0
Albania,Sorghum,15.36,1485.0,0.6667,1991,121.0
Albania,Soybeans,15.36,1485.0,0.6066,1991,121.0
Albania,Wheat,15.36,1485.0,2.0698,1991,121.0
Albania,Maize,16.06,1485.0,2.4876,1992,121.0
Albania,Potatoes,16.06,1485.0,8.292,1992,121.0
Albania,"Rice, paddy",16.06,1485.0,4.0,1992,121.0
Albania,Sorghum,16.06,1485.0,0.3747,1992,121.0
Albania,Soybeans,16.06,1485.0,0.4507,1992,121.0
Albania,Wheat,16.06,1485.0,2.4388,1992,121.0
Albania,Maize,16.05,1485.0,2.4185,1993,121.0
Albania,Potatoes,16.05,1485.0,9.8446,1993,121.0
Albania,"Rice, paddy",16.05,1485.0,4.1786,1993,121.0
Albania,Soybeans,16.05,1485.0,0.7998,1993,121.0
Albania,Wheat,16.05,1485.0,2.9976,1993,121.0
Albania,Maize,16.96,1485.0,2.5848,1994,201.0
Albania,Potatoes,16.96,1485.0,8.1404,1994,201.0
Albania,Soybeans,16.96,1485.0,0.7927,1994,201.0
Albania,Wheat,16.96,1485.0,2.4745,1994,201.0
Albania,Maize,15.67,1485.0,3.13,1995,251.0
Albania,Potatoes,15.67,1485.0,11.1323,1995,251.0
Albania,Soybeans,15.67,1485.0,1.1791,1995,251.0
Albania,Wheat,15.67,1485.0,2.8703,1995,251.0
Albania,Maize,15.64,1485.0,3.2604,1996,313.96
Albania,Potatoes,15.64,1485.0,10.6138,1996,313.96
Albania,Soybeans,15.64,1485.0,1.548,1996,313.96
Albania,Wheat,15.64,1485.0,2.1741,1996,313.96
Albania,Maize,15.9,1485.0,3.1862,1997,376.93
Albania,Potatoes,15.9,1485.0,10.9874,1997,376.93
Albania,Soybeans,15.9,1485.0,1.2768,1997,376.93
Albania,Wheat,15.9,1485.0,2.8516,1997,376.93
Albania,Maize,16.27,1485.0,3.3416,1998,439.89
Albania,Potatoes,16.27,1485.0,12.7212,1998,439.89
Albania,Soybeans,16.27,1485.0,1.4327,1998,439.89
Albania,Wheat,16.27,1485.0,2.8037,1998,439.89
Albania,Maize,16.57,1485.0,3.7455,1999,502.86
Albania,Potatoes,16.57,1485.0,14.2018,1999,502.86
Albania,Soybeans,16.57,1485.0,1.7143,1999,502.86
Albania,Wheat,16.57,1485.0,2.4954,1999,502.86
Albania,Maize,16.67,1485.0,3.8811,2000,565.82
Albania,Potatoes,16.67,1485.0,14.1228,2000,565.82
Albania,Soybeans,16.67,1485.0,1.5,2000,565.82
Albania,Wheat,16.67,1485.0,3.0455,2000,565.82
Albania,Maize,16.59,1485.0,3.8135,2001,628.79
Albania,Potatoes,16.59,1485.0,14.8818,2001,628.79
Albania,Soybeans,16.59,1485.0,2.0,2001,628.79
Albania,Wheat,16.59,1485.0,2.822,2001,628.79
Albania,Maize,16.47,1485.0,3.946,2002,691.75
Albania,Potatoes,16.47,1485.0,15.3868,2002,691.75
Albania,Soybeans,16.47,1485.0,2.0,2002,691.75
Albania,Wheat,16.47,1485.0,3.1617,2002,691.75
Albania,Maize,16.16,1485.0,4.6197,2004,817.68
Albania,Potatoes,16.16,1485.0,14.9346,2004,817.68
Albania,Soybeans,16.16,1485.0,1.3333,2004,817.68
Albania,Wheat,16.16,1485.0,3.113,2004,817.68
Albania,Maize,15.67,1485.0,4.5442,2005,880.64
Albania,Potatoes,15.67,1485.0,16.7061,2005,880.64
Albania,Soybeans,15.67,1485.0,1.75,2005,880.64
Albania,Wheat,15.67,1485.0,3.1582,2005,880.64
Albania,Maize,15.92,1485.0,5.0111,2006,943.61
Albania,Potatoes,15.92,1485.0,17.0745,2006,943.61
Albania,Soybeans,15.92,1485.0,2.0,2006,943.61
Albania,Wheat,15.92,1485.0,3.0787,2006,943.61
Albania,Maize,16.67,1485.0,4.6732,2007,1006.57
Albania,Potatoes,16.67,1485.0,18.8902,2007,1006.57
Albania,Soybeans,16.67,1485.0,2.0,2007,1006.57
Albania,Wheat,16.67,1485.0,3.5496,2007,1006.57
Albania,Maize,16.71,1485.0,5.0,2008,1069.54
Albania,Potatoes,16.71,1485.0,19.3878,2008,1069.54
Albania,Soybeans,16.71,1485.0,2.0,2008,1069.54
Albania,Wheat,16.71,1485.0,4.0168,2008,1069.54
Albania,Maize,16.73,1485.0,5.5693,2009,1132.5
Albania,Potatoes,16.73,1485.0,21.978,2009,1132.5
Albania,Soybeans,16.73,1485.0,1.6667,2009,1132.5
Albania,Wheat,16.73,1485.0,4.0229,2009,1132.5
Albania,Maize,16.52,1485.0,6.679,2010,1311.17
